#curie_map:
#  CL: "http://purl.obolibrary.org/obo/CL_"
#  ZFA: "http://purl.obolibrary.org/obo/ZFA_"
#mapping_set_id: "http://purl.obolibrary.org/obo/zfa/zfa.sssom.tsv"
#license: "https://creativecommons.org/licenses/by/3.0/"
#subject_source: "http://purl.obolibrary.org/obo/zfa.owl"
subject_id	subject_label	predicate_id	object_id	mapping_justification	mapping_cardinality
ZFA:0000003	adaxial cell	semapv:crossSpeciesExactMatch	CL:0007016	semapv:UnspecifiedMatching	1:1
ZFA:0000084	yolk	semapv:crossSpeciesExactMatch	CL:0000428	semapv:UnspecifiedMatching	1:1
ZFA:0000778	spinal cord interneuron	semapv:crossSpeciesExactMatch	CL:0005000	semapv:UnspecifiedMatching	1:1
ZFA:0001109	oocyte	semapv:crossSpeciesExactMatch	CL:0000023	semapv:UnspecifiedMatching	1:1
ZFA:0001570	unfertilized egg	semapv:crossSpeciesExactMatch	CL:0000025	semapv:UnspecifiedMatching	1:1
ZFA:0001691	cerebellar granule cell	semapv:crossSpeciesExactMatch	CL:0001031	semapv:UnspecifiedMatching	1:1
ZFA:0001694	olfactory granule cell	semapv:crossSpeciesExactMatch	CL:0000626	semapv:UnspecifiedMatching	1:1
ZFA:0001725	immature Schwann cell	semapv:crossSpeciesExactMatch	CL:0002377	semapv:UnspecifiedMatching	1:1
ZFA:0005236	basophilic erythroblast	semapv:crossSpeciesExactMatch	CL:0000549	semapv:UnspecifiedMatching	1:1
ZFA:0005237	erythroblast	semapv:crossSpeciesExactMatch	CL:0000765	semapv:UnspecifiedMatching	1:1
ZFA:0005238	juxtaglomerular cell	semapv:crossSpeciesExactMatch	CL:0000648	semapv:UnspecifiedMatching	1:1
ZFA:0005239	micropylar cell	semapv:crossSpeciesExactMatch	CL:0007022	semapv:UnspecifiedMatching	1:1
ZFA:0005240	Kolmer-Agduhr neuron	semapv:crossSpeciesExactMatch	CL:0005007	semapv:UnspecifiedMatching	1:1
ZFA:0005241	polychromatophilic erythroblast	semapv:crossSpeciesExactMatch	CL:0000550	semapv:UnspecifiedMatching	1:1
ZFA:0005242	multi-ciliated epithelial cell	semapv:crossSpeciesExactMatch	CL:0005012	semapv:UnspecifiedMatching	1:1
ZFA:0005243	single ciliated epithelial cell	semapv:crossSpeciesExactMatch	CL:0005013	semapv:UnspecifiedMatching	1:1
ZFA:0005244	auditory epithelial support cell	semapv:crossSpeciesExactMatch	CL:0005014	semapv:UnspecifiedMatching	1:1
ZFA:0005245	xanthoblast	semapv:crossSpeciesExactMatch	CL:0005002	semapv:UnspecifiedMatching	1:1
ZFA:0005322	renal principal cell	semapv:crossSpeciesExactMatch	CL:0005009	semapv:UnspecifiedMatching	1:1
ZFA:0005323	ionocyte	semapv:crossSpeciesExactMatch	CL:0005006	semapv:UnspecifiedMatching	1:1
ZFA:0005328	iridoblast	semapv:crossSpeciesExactMatch	CL:0005001	semapv:UnspecifiedMatching	1:1
ZFA:0005329	leucoblast	semapv:crossSpeciesExactMatch	CL:0005003	semapv:UnspecifiedMatching	1:1
ZFA:0005331	pigment erythroblast	semapv:crossSpeciesExactMatch	CL:0005004	semapv:UnspecifiedMatching	1:1
ZFA:0005332	cyanoblast	semapv:crossSpeciesExactMatch	CL:0005005	semapv:UnspecifiedMatching	1:1
ZFA:0005565	tether cell	semapv:crossSpeciesExactMatch	CL:0002450	semapv:UnspecifiedMatching	1:1
ZFA:0005598	pancreatic epsilon cell	semapv:crossSpeciesExactMatch	CL:0005019	semapv:UnspecifiedMatching	1:1
ZFA:0005599	ghrelin secreting cell	semapv:crossSpeciesExactMatch	CL:0005018	semapv:UnspecifiedMatching	1:1
ZFA:0005730	cranial motor neuron	semapv:crossSpeciesExactMatch	CL:0015000	semapv:UnspecifiedMatching	1:1
ZFA:0005731	branchiomotor neuron	semapv:crossSpeciesExactMatch	CL:0005023	semapv:UnspecifiedMatching	1:1
ZFA:0005732	visceromotor neuron	semapv:crossSpeciesExactMatch	CL:0005025	semapv:UnspecifiedMatching	1:1
ZFA:0005733	somatomotor neuron	semapv:crossSpeciesExactMatch	CL:0005024	semapv:UnspecifiedMatching	1:1
ZFA:0005739	pancreatic acinar cell	semapv:crossSpeciesExactMatch	CL:0002064	semapv:UnspecifiedMatching	1:1
ZFA:0005740	pancreatic centroacinar cell	semapv:crossSpeciesExactMatch	CL:0002080	semapv:UnspecifiedMatching	1:1
ZFA:0005742	pancreatic PP cell	semapv:crossSpeciesExactMatch	CL:0002275	semapv:UnspecifiedMatching	1:1
ZFA:0005743	pancreatic D cell	semapv:crossSpeciesExactMatch	CL:0000173	semapv:UnspecifiedMatching	1:1
ZFA:0005744	notochord outer sheath cell	semapv:crossSpeciesExactMatch	CL:0007007	semapv:UnspecifiedMatching	1:1
ZFA:0005745	structural cell	semapv:crossSpeciesExactMatch	CL:0000293	semapv:UnspecifiedMatching	1:1
ZFA:0005769	spermatid	semapv:crossSpeciesExactMatch	CL:0000018	semapv:UnspecifiedMatching	1:1
ZFA:0005772	fertilized egg	semapv:crossSpeciesExactMatch	CL:00000365	semapv:UnspecifiedMatching	1:1
ZFA:0005773	embryonic blood vessel endothelial progenitor cell	semapv:crossSpeciesExactMatch	CL:0002546	semapv:UnspecifiedMatching	1:1
ZFA:0005775	enteric neuron	semapv:crossSpeciesExactMatch	CL:0007011	semapv:UnspecifiedMatching	1:1
ZFA:0005776	parasympathetic neuron	semapv:crossSpeciesExactMatch	CL:0011102	semapv:UnspecifiedMatching	1:1
ZFA:0005777	sympathetic neuron	semapv:crossSpeciesExactMatch	CL:0011103	semapv:UnspecifiedMatching	1:1
ZFA:0005778	hypocretin-secreting neuron	semapv:crossSpeciesExactMatch	CL:0011109	semapv:UnspecifiedMatching	1:1
ZFA:0005784	striated muscle cell	semapv:crossSpeciesExactMatch	CL:0000737	semapv:UnspecifiedMatching	1:1
ZFA:0005830	hematopoietic cell	semapv:crossSpeciesExactMatch	CL:0000988	semapv:UnspecifiedMatching	1:1
ZFA:0005873	noradrenergic neuron	semapv:crossSpeciesExactMatch	CL:0008025	semapv:UnspecifiedMatching	1:1
ZFA:0005878	oogonia	semapv:crossSpeciesExactMatch	CL:0000024	semapv:UnspecifiedMatching	1:1
ZFA:0005944	mural cell	semapv:crossSpeciesExactMatch	CL:0008034	semapv:UnspecifiedMatching	1:1
ZFA:0005956	germline stem cell	semapv:crossSpeciesExactMatch	CL:0000014	semapv:UnspecifiedMatching	1:1
ZFA:0005957	stem cell	semapv:crossSpeciesExactMatch	CL:0000034	semapv:UnspecifiedMatching	1:1
ZFA:0007084	premigratory neural crest cell	semapv:crossSpeciesExactMatch	CL:0007004	semapv:UnspecifiedMatching	1:1
ZFA:0007086	migratory neural crest cell	semapv:crossSpeciesExactMatch	CL:0000333	semapv:UnspecifiedMatching	1:1
ZFA:0007089	embryonic cell	semapv:crossSpeciesExactMatch	CL:0002321	semapv:UnspecifiedMatching	1:1
ZFA:0007091	migratory cranial neural crest cell	semapv:crossSpeciesExactMatch	CL:0000008	semapv:UnspecifiedMatching	1:1
ZFA:0007095	migratory trunk neural crest cell	semapv:crossSpeciesExactMatch	CL:0000011	semapv:UnspecifiedMatching	1:1
ZFA:0007122	epidermal stem cell	semapv:crossSpeciesExactMatch	CL:1000428	semapv:UnspecifiedMatching	1:1
ZFA:0009000	cell	semapv:crossSpeciesExactMatch	CL:0000000	semapv:UnspecifiedMatching	1:1
ZFA:0009001	receptor cell (sensu Animalia)	semapv:crossSpeciesExactMatch	CL:0000006	semapv:UnspecifiedMatching	1:1
ZFA:0009002	early embryonic cell	semapv:crossSpeciesExactMatch	CL:0000007	semapv:UnspecifiedMatching	1:1
ZFA:0009005	spermatocyte	semapv:crossSpeciesExactMatch	CL:0000017	semapv:UnspecifiedMatching	1:1
ZFA:0009006	sperm	semapv:crossSpeciesExactMatch	CL:0000019	semapv:UnspecifiedMatching	1:1
ZFA:0009007	spermatogonium	semapv:crossSpeciesExactMatch	CL:0000020	semapv:UnspecifiedMatching	1:1
ZFA:0009009	neuron neural crest derived	semapv:crossSpeciesExactMatch	CL:0000029	semapv:UnspecifiedMatching	1:1
ZFA:0009010	glioblast	semapv:crossSpeciesExactMatch	CL:0000030	semapv:UnspecifiedMatching	1:1
ZFA:0009011	neuroblast	semapv:crossSpeciesExactMatch	CL:0000031	semapv:UnspecifiedMatching	1:1
ZFA:0009012	neuroplacodal cell	semapv:crossSpeciesExactMatch	CL:0000032	semapv:UnspecifiedMatching	1:1
ZFA:0009013	single fate stem cell	semapv:crossSpeciesExactMatch	CL:0000035	semapv:UnspecifiedMatching	1:1
ZFA:0009014	hematopoietic stem cell	semapv:crossSpeciesExactMatch	CL:0000037	semapv:UnspecifiedMatching	1:1
ZFA:0009015	erythroid progenitor cell	semapv:crossSpeciesExactMatch	CL:0000038	semapv:UnspecifiedMatching	1:1
ZFA:0009016	germ line cell	semapv:crossSpeciesExactMatch	CL:0000039	semapv:UnspecifiedMatching	1:1
ZFA:0009017	monoblast	semapv:crossSpeciesExactMatch	CL:0000040	semapv:UnspecifiedMatching	1:1
ZFA:0009018	neutrophilic myeloblast	semapv:crossSpeciesExactMatch	CL:0000042	semapv:UnspecifiedMatching	1:1
ZFA:0009019	neuronal stem cell	semapv:crossSpeciesExactMatch	CL:0000047	semapv:UnspecifiedMatching	1:1
ZFA:0009020	multi fate stem cell	semapv:crossSpeciesExactMatch	CL:0000048	semapv:UnspecifiedMatching	1:1
ZFA:0009021	common myeloid progenitor	semapv:crossSpeciesExactMatch	CL:0000049	semapv:UnspecifiedMatching	1:1
ZFA:0009022	megakaryocyte erythroid progenitor cell	semapv:crossSpeciesExactMatch	CL:0000050	semapv:UnspecifiedMatching	1:1
ZFA:0009023	common lymphoid progenitor	semapv:crossSpeciesExactMatch	CL:0000051	semapv:UnspecifiedMatching	1:1
ZFA:0009024	totipotent stem cell	semapv:crossSpeciesExactMatch	CL:0000052	semapv:UnspecifiedMatching	1:1
ZFA:0009025	myoblast	semapv:crossSpeciesExactMatch	CL:0000056	semapv:UnspecifiedMatching	1:1
ZFA:0009026	fibroblast	semapv:crossSpeciesExactMatch	CL:0000057	semapv:UnspecifiedMatching	1:1
ZFA:0009027	chondroblast	semapv:crossSpeciesExactMatch	CL:0000058	semapv:UnspecifiedMatching	1:1
ZFA:0009029	odontoblast	semapv:crossSpeciesExactMatch	CL:0000060	semapv:UnspecifiedMatching	1:1
ZFA:0009030	cementoblast	semapv:crossSpeciesExactMatch	CL:0000061	semapv:UnspecifiedMatching	1:1
ZFA:0009031	osteoblast	semapv:crossSpeciesExactMatch	CL:0000062	semapv:UnspecifiedMatching	1:1
ZFA:0009032	ciliated cell	semapv:crossSpeciesExactMatch	CL:0000064	semapv:UnspecifiedMatching	1:1
ZFA:0009033	ependymal cell	semapv:crossSpeciesExactMatch	CL:0000065	semapv:UnspecifiedMatching	1:1
ZFA:0009034	epithelial cell	semapv:crossSpeciesExactMatch	CL:0000066	semapv:UnspecifiedMatching	1:1
ZFA:0009035	ciliated epithelial cell	semapv:crossSpeciesExactMatch	CL:0000067	semapv:UnspecifiedMatching	1:1
ZFA:0009036	blood vessel endothelial cell	semapv:crossSpeciesExactMatch	CL:0000071	semapv:UnspecifiedMatching	1:1
ZFA:0009037	barrier epithelial cell	semapv:crossSpeciesExactMatch	CL:0000073	semapv:UnspecifiedMatching	1:1
ZFA:0009038	columnar/cuboidal epithelial cell	semapv:crossSpeciesExactMatch	CL:0000075	semapv:UnspecifiedMatching	1:1
ZFA:0009039	squamous epithelial cell	semapv:crossSpeciesExactMatch	CL:0000076	semapv:UnspecifiedMatching	1:1
ZFA:0009040	mesothelial cell	semapv:crossSpeciesExactMatch	CL:0000077	semapv:UnspecifiedMatching	1:1
ZFA:0009041	peridermal cell	semapv:crossSpeciesExactMatch	CL:0000078	semapv:UnspecifiedMatching	1:1
ZFA:0009042	stratified epithelial cell	semapv:crossSpeciesExactMatch	CL:0000079	semapv:UnspecifiedMatching	1:1
ZFA:0009043	circulating cell	semapv:crossSpeciesExactMatch	CL:0000080	semapv:UnspecifiedMatching	1:1
ZFA:0009044	blood cell	semapv:crossSpeciesExactMatch	CL:0000081	semapv:UnspecifiedMatching	1:1
ZFA:0009045	epithelial cell of pancreas	semapv:crossSpeciesExactMatch	CL:0000083	semapv:UnspecifiedMatching	1:1
ZFA:0009046	T cell	semapv:crossSpeciesExactMatch	CL:0000084	semapv:UnspecifiedMatching	1:1
ZFA:0009047	osteoclast	semapv:crossSpeciesExactMatch	CL:0000092	semapv:UnspecifiedMatching	1:1
ZFA:0009048	granulocyte	semapv:crossSpeciesExactMatch	CL:0000094	semapv:UnspecifiedMatching	1:1
ZFA:0009049	mature neutrophil	semapv:crossSpeciesExactMatch	CL:0000096	semapv:UnspecifiedMatching	1:1
ZFA:0009050	sensory epithelial cell	semapv:crossSpeciesExactMatch	CL:0000098	semapv:UnspecifiedMatching	1:1
ZFA:0009051	interneuron	semapv:crossSpeciesExactMatch	CL:0000099	semapv:UnspecifiedMatching	1:1
ZFA:0009052	motor neuron	semapv:crossSpeciesExactMatch	CL:0000100	semapv:UnspecifiedMatching	1:1
ZFA:0009053	sensory neuron	semapv:crossSpeciesExactMatch	CL:0000101	semapv:UnspecifiedMatching	1:1
ZFA:0009054	polymodal neuron	semapv:crossSpeciesExactMatch	CL:0000102	semapv:UnspecifiedMatching	1:1
ZFA:0009055	bipolar neuron	semapv:crossSpeciesExactMatch	CL:0000103	semapv:UnspecifiedMatching	1:1
ZFA:0009056	multipolar neuron	semapv:crossSpeciesExactMatch	CL:0000104	semapv:UnspecifiedMatching	1:1
ZFA:0009057	pseudounipolar neuron	semapv:crossSpeciesExactMatch	CL:0000105	semapv:UnspecifiedMatching	1:1
ZFA:0009058	unipolar neuron	semapv:crossSpeciesExactMatch	CL:0000106	semapv:UnspecifiedMatching	1:1
ZFA:0009059	autonomic neuron	semapv:crossSpeciesExactMatch	CL:0000107	semapv:UnspecifiedMatching	1:1
ZFA:0009060	cholinergic neuron	semapv:crossSpeciesExactMatch	CL:0000108	semapv:UnspecifiedMatching	1:1
ZFA:0009061	adrenergic neuron	semapv:crossSpeciesExactMatch	CL:0000109	semapv:UnspecifiedMatching	1:1
