?cls	?def	?xrefs
<http://purl.obolibrary.org/obo/GO_0002737>	"Any process that stops, prevents, or reduces the frequency, rate, or extent of plasmacytoid dendritic cell cytokine production."	
<http://purl.obolibrary.org/obo/UBERON_0001007>	"Anatomical system that has as its parts the organs devoted to the ingestion, digestion, and assimilation of food and the discharge of residual wastes."	"BILA:0000082 MIAA:0000018 MAT:0000018 AAO:0000129 Wikipedia:Digestive_system galen:DigestiveSystem MESH:D004064 SCTID:278859004 ncithesaurus:Digestive_System MA:0002431 EFO:0000793 TAO:0000339 XAO:0000125 GAID:278 CALOHA:TS-1293 FMA:7152 TADS:0000170 ZFA:0000339 WBbt:0005748 BTO:0000058"
<http://purl.obolibrary.org/obo/GO_0021647>	"A developmental process, independent of morphogenetic (shape) change, that is required for the vestibulocochlear nerve to attain its fully functional state. This sensory nerve innervates the membranous labyrinth of the inner ear. The vestibular branch innervates the vestibular apparatus that senses head position changes relative to gravity. The auditory branch innervates the cochlear duct, which is connected to the three bony ossicles which transduce sound waves into fluid movement in the cochlea."	
<http://purl.obolibrary.org/obo/GO_0032102>	"Any process that stops, prevents, or reduces the frequency, rate or extent of a response to an external stimulus."	
<http://purl.obolibrary.org/obo/PR_O54839>	"An eomesodermin that is encoded in the genome of mouse."	"UniProtKB:O54839"
<http://purl.obolibrary.org/obo/GO_0086027>	"Any process that mediates the transfer of information from an AV node cardiac muscle cell to a bundle of His cardiomyocyte."	
<http://purl.obolibrary.org/obo/GO_0033602>	"Any process that stops, prevents, or reduces the frequency, rate or extent of the regulated release of dopamine."	
<http://purl.obolibrary.org/obo/GO_0071743>	"A protein complex composed of two identical immunoglobulin heavy chains of the IgE isotype and two identical immunoglobulin light chains, held together by disulfide bonds, and present in the extracellular space, in mucosal areas or other tissues, or circulating in the blood or lymph."	
<http://purl.obolibrary.org/obo/GO_0035933>	"The regulated release of any glucocorticoid hormone into the circulatory system. Glucocorticoids are a class of steroid hormones that regulate a variety of physiological processes, in particular control of the concentration of glucose in blood."	
<http://purl.obolibrary.org/obo/GO_1904438>	"Any process that modulates the frequency, rate or extent of iron ions import across plasma membrane."	
<http://purl.obolibrary.org/obo/CHEBI_50994>		
<http://purl.obolibrary.org/obo/PR_Q00993>	"A tyrosine-protein kinase receptor UFO that is encoded in the genome of mouse."	"UniProtKB:Q00993"
<http://purl.obolibrary.org/obo/CL_0000667>	"An extracellular matrix secreting cell that secretes collagen."	
<http://purl.obolibrary.org/obo/GO_1904933>	"Any process that modulates the frequency, rate or extent of cell proliferation in midbrain."	
<http://purl.obolibrary.org/obo/UBERON_0004985>	"A mucosa that is part of a ejaculatory duct [Automatically generated definition]."	"FMA:19373"
<http://purl.obolibrary.org/obo/PR_Q9NPC4>	"A lactosylceramide 4-alpha-galactosyltransferase that is encoded in the genome of human."	"UniProtKB:Q9NPC4"
<http://purl.obolibrary.org/obo/GO_1905311>	"Any process that stops, prevents or reduces the frequency, rate or extent of cardiac neural crest cell migration involved in outflow tract morphogenesis."	
<http://purl.obolibrary.org/obo/UBERON_0002194>	"Capsule surrounding lymph node composed of connective tissue with some plain muscle fibers."	"UMLS:C0229699 FMA:74604 EMAPA:35524 SCTID:327532004 NCIT:C33028 MA:0000739 Wikipedia:Lymph_node_capsule"
<http://purl.obolibrary.org/obo/UBERON_0002291>	"Spinal cord structure that is part of the ventricular system and is filled with cerebral-spinal fluid and runs the length of the spinal cord."	"HBA:9422 Wikipedia:Central_canal_of_spinal_cord EHDAA2:0004361 BAMS:CC NCIT:C12891 TAO:0000938 MA:0001117 BIRNLEX:1409 DMBA:126652042 DHBA:146035108 neuronames:1733 MBA:164 ZFA:0000938 FMA:78497 SCTID:279447004 EMAPA:35789 BAMS:C UMLS:C0459414"
<http://purl.obolibrary.org/obo/CL_0000691>		
<http://purl.obolibrary.org/obo/CL_0019019>	"A smooth muscle cell that is part of the tracheobronchial tree."	
<http://purl.obolibrary.org/obo/GO_1990375>	"The reproductive developmental process whose specific outcome is the progression of the baculum over time, from its formation to the mature structure."	
<http://purl.obolibrary.org/obo/GO_0030003>	"A homeostatic process involved in the maintenance of a steady state level of monoatomic cations within a cell. Monatomic cations (also called simple cations) are cations consisting of exactly one atom."	
<http://purl.obolibrary.org/obo/CL_0005023>	"Cranial motor neuron which innervates muscles derived from the branchial (pharyngeal) arches."	"PMID:14699587"
<http://purl.obolibrary.org/obo/CHEBI_50860>		
<http://purl.obolibrary.org/obo/UBERON_0016405>	"A capillary that is part of a lung."	"FMA:14121"
<http://purl.obolibrary.org/obo/PR_P02008>	"A hemoglobin subunit zeta that is encoded in the genome of human."	"UniProtKB:P02008"
<http://purl.obolibrary.org/obo/GO_1901722>	"Any process that modulates the frequency, rate or extent of cell proliferation involved in kidney development."	
<http://purl.obolibrary.org/obo/GO_0050951>	"The series of events required for an organism to receive a sensory temperature stimulus, convert it to a molecular signal, and recognize and characterize the signal. This is a neurological process."	
<http://purl.obolibrary.org/obo/GO_0051179>	"Any process in which a cell, a substance, or a cellular entity, such as a protein complex or organelle, is transported, tethered to or otherwise maintained in a specific location. In the case of substances, localization may also be achieved via selective degradation."	
<http://purl.obolibrary.org/obo/CL_0002063>	"A type II pneumocyte is a pneumocyte that modulates the fluid surrounding the alveolar epithelium by secreting and recycling surfactants. This cell type also contributes to tissue repair and can differentiate after injury into a type I pneumocyte. Thicker than squamous alveolar cells, have a rounded apical surface that projects above the level of surrounding epithelium. The free surface is covered by short microvilli."	"BTO:0000538 FMA:62501"
<http://purl.obolibrary.org/obo/UBERON_0011092>	"A pelvic girdle region that is in the right side of a multicellular organism."	"FMA:16582"
<http://purl.obolibrary.org/obo/CL_2000097>	"Any dopaminergic neuron that is part of a midbrain."	
<http://purl.obolibrary.org/obo/PR_P26011>	"An integrin beta-7 that is encoded in the genome of mouse."	"UniProtKB:P26011"
<http://purl.obolibrary.org/obo/GO_0003382>	"The change in form that occurs when an epithelial cell progresses from its initial formation to its mature state."	
<http://purl.obolibrary.org/obo/CL_0000478>	"A peptide hormone secreting cell that secretes oxytocin stimulating hormone"	
<http://purl.obolibrary.org/obo/GO_0099565>	"The part of synaptic transmission occurring in the post-synapse: a signal transduction pathway consisting of neurotransmitter receptor activation and its effects on postsynaptic membrane potential and the ionic composition of the postsynaptic cytosol."	
<http://purl.obolibrary.org/obo/UBERON_0001773>	"Opaque fibrous outer layer of the eyeball[ZFA,Kardong,WP]."	"XAO:0000183 MESH:D012590 EMAPA:19027 AAO:0010354 NCIT:C12784 ZFA:0005563 UMLS:C0036410 GAID:911 VHOG:0001274 EV:0100342 FMA:58269 SCTID:181163006 Wikipedia:Sclera MA:0000280 BTO:0001606"
<http://purl.obolibrary.org/obo/GO_0003325>	"The process whose specific outcome is the progression of a pancreatic PP cell over time, from its formation to the mature structure. A pancreatic polypeptide-producing cell is a cell in the pancreas that produces pancreatic polypeptide."	
<http://purl.obolibrary.org/obo/CL_0010013>		
<http://purl.obolibrary.org/obo/UBERON_0006284>	"Future brain vesicle that gives rise to telencephalic ventricle/lateral ventricles and 3rd ventricle."	"EMAPA:16521 SCTID:361480006 TAO:0001259 ZFA:0001259 EHDAA:1356 VHOG:0000644 EHDAA2:0001571 DHBA:10595"
<http://purl.obolibrary.org/obo/GO_0043117>	"Any process that increases the extent to which blood vessels can be pervaded by fluid."	
<http://purl.obolibrary.org/obo/CL_4023046>	"An excitatory glutamatergic neuron transcriptomically related to the CT subclass, with a soma preferentially located in the bottom of L6 of the primary motor cortex."	
<http://purl.obolibrary.org/obo/NCBITaxon_55885>		"GC_ID:1"
