type	subject	severity	instantiates	predicate	object	object_str	source	info
http://www.w3.org/ns/shacl#MinCountConstraintComponent	CL:0000006	WARNING	None	IAO:0000115	None	None	sqlite:cl-simple.db	Missing slot (definition) for CL:0000006
http://www.w3.org/ns/shacl#MinCountConstraintComponent	CL:0000028	WARNING	None	IAO:0000115	None	None	sqlite:cl-simple.db	Missing slot (definition) for CL:0000028
http://www.w3.org/ns/shacl#MinCountConstraintComponent	CL:0000029	WARNING	None	IAO:0000115	None	None	sqlite:cl-simple.db	Missing slot (definition) for CL:0000029
http://www.w3.org/ns/shacl#MinCountConstraintComponent	CL:0000030	WARNING	None	IAO:0000115	None	None	sqlite:cl-simple.db	Missing slot (definition) for CL:0000030
http://www.w3.org/ns/shacl#MinCountConstraintComponent	CL:0000036	WARNING	None	IAO:0000115	None	None	sqlite:cl-simple.db	Missing slot (definition) for CL:0000036
http://www.w3.org/ns/shacl#MinCountConstraintComponent	CL:0000054	WARNING	None	IAO:0000115	None	None	sqlite:cl-simple.db	Missing slot (definition) for CL:0000054
http://www.w3.org/ns/shacl#MinCountConstraintComponent	CL:0000069	WARNING	None	IAO:0000115	None	None	sqlite:cl-simple.db	Missing slot (definition) for CL:0000069
http://www.w3.org/ns/shacl#MinCountConstraintComponent	CL:0000072	WARNING	None	IAO:0000115	None	None	sqlite:cl-simple.db	Missing slot (definition) for CL:0000072
http://www.w3.org/ns/shacl#MinCountConstraintComponent	CL:0000076	WARNING	None	IAO:0000115	None	None	sqlite:cl-simple.db	Missing slot (definition) for CL:0000076
http://www.w3.org/ns/shacl#MinCountConstraintComponent	CL:0000078	WARNING	None	IAO:0000115	None	None	sqlite:cl-simple.db	Missing slot (definition) for CL:0000078
http://www.w3.org/ns/shacl#MinCountConstraintComponent	CL:0000079	WARNING	None	IAO:0000115	None	None	sqlite:cl-simple.db	Missing slot (definition) for CL:0000079
http://www.w3.org/ns/shacl#MinCountConstraintComponent	CL:0000095	WARNING	None	IAO:0000115	None	None	sqlite:cl-simple.db	Missing slot (definition) for CL:0000095
http://www.w3.org/ns/shacl#MinCountConstraintComponent	CL:0000102	WARNING	None	IAO:0000115	None	None	sqlite:cl-simple.db	Missing slot (definition) for CL:0000102
http://www.w3.org/ns/shacl#MinCountConstraintComponent	CL:0000109	WARNING	None	IAO:0000115	None	None	sqlite:cl-simple.db	Missing slot (definition) for CL:0000109
http://www.w3.org/ns/shacl#MinCountConstraintComponent	CL:0000112	WARNING	None	IAO:0000115	None	None	sqlite:cl-simple.db	Missing slot (definition) for CL:0000112
http://www.w3.org/ns/shacl#MinCountConstraintComponent	CL:0000114	WARNING	None	IAO:0000115	None	None	sqlite:cl-simple.db	Missing slot (definition) for CL:0000114
http://www.w3.org/ns/shacl#MinCountConstraintComponent	CL:0000117	WARNING	None	IAO:0000115	None	None	sqlite:cl-simple.db	Missing slot (definition) for CL:0000117
http://www.w3.org/ns/shacl#MinCountConstraintComponent	CL:0000123	WARNING	None	IAO:0000115	None	None	sqlite:cl-simple.db	Missing slot (definition) for CL:0000123
http://www.w3.org/ns/shacl#MinCountConstraintComponent	CL:0000130	WARNING	None	IAO:0000115	None	None	sqlite:cl-simple.db	Missing slot (definition) for CL:0000130
http://www.w3.org/ns/shacl#MinCountConstraintComponent	CL:0000131	WARNING	None	IAO:0000115	None	None	sqlite:cl-simple.db	Missing slot (definition) for CL:0000131
http://www.w3.org/ns/shacl#MinCountConstraintComponent	CL:0000143	WARNING	None	IAO:0000115	None	None	sqlite:cl-simple.db	Missing slot (definition) for CL:0000143
http://www.w3.org/ns/shacl#MinCountConstraintComponent	CL:0000146	WARNING	None	IAO:0000115	None	None	sqlite:cl-simple.db	Missing slot (definition) for CL:0000146
http://www.w3.org/ns/shacl#MinCountConstraintComponent	CL:0000149	WARNING	None	IAO:0000115	None	None	sqlite:cl-simple.db	Missing slot (definition) for CL:0000149
http://www.w3.org/ns/shacl#MinCountConstraintComponent	CL:0000154	WARNING	None	IAO:0000115	None	None	sqlite:cl-simple.db	Missing slot (definition) for CL:0000154
http://www.w3.org/ns/shacl#MinCountConstraintComponent	CL:0000159	WARNING	None	IAO:0000115	None	None	sqlite:cl-simple.db	Missing slot (definition) for CL:0000159
http://www.w3.org/ns/shacl#MinCountConstraintComponent	CL:0000167	WARNING	None	IAO:0000115	None	None	sqlite:cl-simple.db	Missing slot (definition) for CL:0000167
http://www.w3.org/ns/shacl#MinCountConstraintComponent	CL:0000168	WARNING	None	IAO:0000115	None	None	sqlite:cl-simple.db	Missing slot (definition) for CL:0000168
http://www.w3.org/ns/shacl#MinCountConstraintComponent	CL:0000172	WARNING	None	IAO:0000115	None	None	sqlite:cl-simple.db	Missing slot (definition) for CL:0000172
http://www.w3.org/ns/shacl#MinCountConstraintComponent	CL:0000174	WARNING	None	IAO:0000115	None	None	sqlite:cl-simple.db	Missing slot (definition) for CL:0000174
http://www.w3.org/ns/shacl#MinCountConstraintComponent	CL:0000176	WARNING	None	IAO:0000115	None	None	sqlite:cl-simple.db	Missing slot (definition) for CL:0000176
http://www.w3.org/ns/shacl#MinCountConstraintComponent	CL:0000177	WARNING	None	IAO:0000115	None	None	sqlite:cl-simple.db	Missing slot (definition) for CL:0000177
http://www.w3.org/ns/shacl#MinCountConstraintComponent	CL:0000179	WARNING	None	IAO:0000115	None	None	sqlite:cl-simple.db	Missing slot (definition) for CL:0000179
http://www.w3.org/ns/shacl#MinCountConstraintComponent	CL:0000200	WARNING	None	IAO:0000115	None	None	sqlite:cl-simple.db	Missing slot (definition) for CL:0000200
http://www.w3.org/ns/shacl#MinCountConstraintComponent	CL:0000203	WARNING	None	IAO:0000115	None	None	sqlite:cl-simple.db	Missing slot (definition) for CL:0000203
http://www.w3.org/ns/shacl#MinCountConstraintComponent	CL:0000204	WARNING	None	IAO:0000115	None	None	sqlite:cl-simple.db	Missing slot (definition) for CL:0000204
http://www.w3.org/ns/shacl#MinCountConstraintComponent	CL:0000207	WARNING	None	IAO:0000115	None	None	sqlite:cl-simple.db	Missing slot (definition) for CL:0000207
http://www.w3.org/ns/shacl#MinCountConstraintComponent	CL:0000208	WARNING	None	IAO:0000115	None	None	sqlite:cl-simple.db	Missing slot (definition) for CL:0000208
http://www.w3.org/ns/shacl#MinCountConstraintComponent	CL:0000217	WARNING	None	IAO:0000115	None	None	sqlite:cl-simple.db	Missing slot (definition) for CL:0000217
http://www.w3.org/ns/shacl#MinCountConstraintComponent	CL:0000227	WARNING	None	IAO:0000115	None	None	sqlite:cl-simple.db	Missing slot (definition) for CL:0000227
http://www.w3.org/ns/shacl#MinCountConstraintComponent	CL:0000237	WARNING	None	IAO:0000115	None	None	sqlite:cl-simple.db	Missing slot (definition) for CL:0000237
http://www.w3.org/ns/shacl#MinCountConstraintComponent	CL:0000238	WARNING	None	IAO:0000115	None	None	sqlite:cl-simple.db	Missing slot (definition) for CL:0000238
http://www.w3.org/ns/shacl#MinCountConstraintComponent	CL:0000239	WARNING	None	IAO:0000115	None	None	sqlite:cl-simple.db	Missing slot (definition) for CL:0000239
http://www.w3.org/ns/shacl#MinCountConstraintComponent	CL:0000240	WARNING	None	IAO:0000115	None	None	sqlite:cl-simple.db	Missing slot (definition) for CL:0000240
http://www.w3.org/ns/shacl#MinCountConstraintComponent	CL:0000241	WARNING	None	IAO:0000115	None	None	sqlite:cl-simple.db	Missing slot (definition) for CL:0000241
http://www.w3.org/ns/shacl#MinCountConstraintComponent	CL:0000246	WARNING	None	IAO:0000115	None	None	sqlite:cl-simple.db	Missing slot (definition) for CL:0000246
http://www.w3.org/ns/shacl#MinCountConstraintComponent	CL:0000249	WARNING	None	IAO:0000115	None	None	sqlite:cl-simple.db	Missing slot (definition) for CL:0000249
http://www.w3.org/ns/shacl#MinCountConstraintComponent	CL:0000251	WARNING	None	IAO:0000115	None	None	sqlite:cl-simple.db	Missing slot (definition) for CL:0000251
http://www.w3.org/ns/shacl#MinCountConstraintComponent	CL:0000253	WARNING	None	IAO:0000115	None	None	sqlite:cl-simple.db	Missing slot (definition) for CL:0000253
http://www.w3.org/ns/shacl#MinCountConstraintComponent	CL:0000255	WARNING	None	IAO:0000115	None	None	sqlite:cl-simple.db	Missing slot (definition) for CL:0000255
http://www.w3.org/ns/shacl#MinCountConstraintComponent	CL:0000256	WARNING	None	IAO:0000115	None	None	sqlite:cl-simple.db	Missing slot (definition) for CL:0000256
http://www.w3.org/ns/shacl#MinCountConstraintComponent	CL:0000257	WARNING	None	IAO:0000115	None	None	sqlite:cl-simple.db	Missing slot (definition) for CL:0000257
http://www.w3.org/ns/shacl#MinCountConstraintComponent	CL:0000287	WARNING	None	IAO:0000115	None	None	sqlite:cl-simple.db	Missing slot (definition) for CL:0000287
http://www.w3.org/ns/shacl#MinCountConstraintComponent	CL:0000306	WARNING	None	IAO:0000115	None	None	sqlite:cl-simple.db	Missing slot (definition) for CL:0000306
http://www.w3.org/ns/shacl#MinCountConstraintComponent	CL:0000308	WARNING	None	IAO:0000115	None	None	sqlite:cl-simple.db	Missing slot (definition) for CL:0000308
http://www.w3.org/ns/shacl#MinCountConstraintComponent	CL:0000309	WARNING	None	IAO:0000115	None	None	sqlite:cl-simple.db	Missing slot (definition) for CL:0000309
http://www.w3.org/ns/shacl#MinCountConstraintComponent	CL:0000310	WARNING	None	IAO:0000115	None	None	sqlite:cl-simple.db	Missing slot (definition) for CL:0000310
http://www.w3.org/ns/shacl#MinCountConstraintComponent	CL:0000311	WARNING	None	IAO:0000115	None	None	sqlite:cl-simple.db	Missing slot (definition) for CL:0000311
http://www.w3.org/ns/shacl#MinCountConstraintComponent	CL:0000314	WARNING	None	IAO:0000115	None	None	sqlite:cl-simple.db	Missing slot (definition) for CL:0000314
http://www.w3.org/ns/shacl#MinCountConstraintComponent	CL:0000319	WARNING	None	IAO:0000115	None	None	sqlite:cl-simple.db	Missing slot (definition) for CL:0000319
http://www.w3.org/ns/shacl#MinCountConstraintComponent	CL:0000323	WARNING	None	IAO:0000115	None	None	sqlite:cl-simple.db	Missing slot (definition) for CL:0000323
http://www.w3.org/ns/shacl#MinCountConstraintComponent	CL:0000324	WARNING	None	IAO:0000115	None	None	sqlite:cl-simple.db	Missing slot (definition) for CL:0000324
http://www.w3.org/ns/shacl#MinCountConstraintComponent	CL:0000326	WARNING	None	IAO:0000115	None	None	sqlite:cl-simple.db	Missing slot (definition) for CL:0000326
