?cls	?replCls	?consCls
<http://purl.obolibrary.org/obo/CL_0000002>	<http://purl.obolibrary.org/obo/CLO_0000019>	
<http://purl.obolibrary.org/obo/CL_0000004>		"CL:0000000"
<http://purl.obolibrary.org/obo/CL_0000004>		"CL:0000003"
<http://purl.obolibrary.org/obo/CL_0000004>		"CL:0001034"
<http://purl.obolibrary.org/obo/CL_0000009>		
<http://purl.obolibrary.org/obo/CL_0000012>		"CL:0000000"
<http://purl.obolibrary.org/obo/CL_0000012>		"CL:0000003"
<http://purl.obolibrary.org/obo/CL_0000012>		"CL:0001034"
<http://purl.obolibrary.org/obo/CL_0000013>		"CL:0000140"
<http://purl.obolibrary.org/obo/CL_0000045>		
<http://purl.obolibrary.org/obo/CL_0000046>		
<http://purl.obolibrary.org/obo/CL_0000063>		"CL:0000000"
<http://purl.obolibrary.org/obo/CL_0000063>		"CL:0000003"
<http://purl.obolibrary.org/obo/CL_0000063>		"CL:0001034"
<http://purl.obolibrary.org/obo/CL_0000070>		
<http://purl.obolibrary.org/obo/CL_0000074>		
<http://purl.obolibrary.org/obo/CL_0000093>		
<http://purl.obolibrary.org/obo/CL_0000144>		"CL:0000000"
<http://purl.obolibrary.org/obo/CL_0000144>		"CL:0000003"
<http://purl.obolibrary.org/obo/CL_0000144>		"CL:0001034"
<http://purl.obolibrary.org/obo/CL_0000156>		
<http://purl.obolibrary.org/obo/CL_0000194>		
<http://purl.obolibrary.org/obo/CL_0000195>		
<http://purl.obolibrary.org/obo/CL_0000220>		"CL:0000000"
<http://purl.obolibrary.org/obo/CL_0000220>		"CL:0000003"
<http://purl.obolibrary.org/obo/CL_0000220>		"CL:0001034"
<http://purl.obolibrary.org/obo/CL_0000224>		"CL:0000000"
<http://purl.obolibrary.org/obo/CL_0000224>		"CL:0000003"
<http://purl.obolibrary.org/obo/CL_0000224>		"CL:0001034"
<http://purl.obolibrary.org/obo/CL_0000229>		
<http://purl.obolibrary.org/obo/CL_0000230>		
<http://purl.obolibrary.org/obo/CL_0000231>		
<http://purl.obolibrary.org/obo/CL_0000245>		
<http://purl.obolibrary.org/obo/CL_0000248>		
<http://purl.obolibrary.org/obo/CL_0000250>		
<http://purl.obolibrary.org/obo/CL_0000252>		
<http://purl.obolibrary.org/obo/CL_0000254>		
<http://purl.obolibrary.org/obo/CL_0000258>		
<http://purl.obolibrary.org/obo/CL_0000259>	"DDANAT:0000403"	
<http://purl.obolibrary.org/obo/CL_0000260>		
<http://purl.obolibrary.org/obo/CL_0000262>		
<http://purl.obolibrary.org/obo/CL_0000263>	"DDANAT:0000002"	
<http://purl.obolibrary.org/obo/CL_0000264>		
<http://purl.obolibrary.org/obo/CL_0000265>	"DDANAT:0000404"	
<http://purl.obolibrary.org/obo/CL_0000266>		
<http://purl.obolibrary.org/obo/CL_0000267>	"DDANAT:0000405"	
<http://purl.obolibrary.org/obo/CL_0000268>		
<http://purl.obolibrary.org/obo/CL_0000269>	"DDANAT:0000406"	
<http://purl.obolibrary.org/obo/CL_0000270>		
<http://purl.obolibrary.org/obo/CL_0000271>	"DDANAT:0000408"	
<http://purl.obolibrary.org/obo/CL_0000272>		
<http://purl.obolibrary.org/obo/CL_0000273>	"DDANAT:0000410"	
<http://purl.obolibrary.org/obo/CL_0000275>	"DDANAT:0000409"	
<http://purl.obolibrary.org/obo/CL_0000276>		
<http://purl.obolibrary.org/obo/CL_0000277>	"DDANAT:0000406"	
<http://purl.obolibrary.org/obo/CL_0000278>		
<http://purl.obolibrary.org/obo/CL_0000279>	"DDANAT:0000407"	
<http://purl.obolibrary.org/obo/CL_0000280>		
<http://purl.obolibrary.org/obo/CL_0000281>	"DDANAT:0000411"	
<http://purl.obolibrary.org/obo/CL_0000282>		
<http://purl.obolibrary.org/obo/CL_0000283>	"DDANAT:0000412"	
<http://purl.obolibrary.org/obo/CL_0000284>		
<http://purl.obolibrary.org/obo/CL_0000285>	"DDANAT:0000413"	
<http://purl.obolibrary.org/obo/CL_0000288>		
<http://purl.obolibrary.org/obo/CL_0000289>	"DDANAT:0000402"	
<http://purl.obolibrary.org/obo/CL_0000290>		
<http://purl.obolibrary.org/obo/CL_0000291>	"DDANAT:0000414"	
<http://purl.obolibrary.org/obo/CL_0000292>		
<http://purl.obolibrary.org/obo/CL_0000294>		
<http://purl.obolibrary.org/obo/CL_0000296>		
<http://purl.obolibrary.org/obo/CL_0000297>		
<http://purl.obolibrary.org/obo/CL_0000298>		
<http://purl.obolibrary.org/obo/CL_0000299>		
<http://purl.obolibrary.org/obo/CL_0000302>		
<http://purl.obolibrary.org/obo/CL_0000303>		
<http://purl.obolibrary.org/obo/CL_0000304>		
<http://purl.obolibrary.org/obo/CL_0000305>		
<http://purl.obolibrary.org/obo/CL_0000316>		
<http://purl.obolibrary.org/obo/CL_0000320>		
<http://purl.obolibrary.org/obo/CL_0000330>		
<http://purl.obolibrary.org/obo/CL_0000331>		
<http://purl.obolibrary.org/obo/CL_0000332>		
<http://purl.obolibrary.org/obo/CL_0000344>		
<http://purl.obolibrary.org/obo/CL_0000363>		
<http://purl.obolibrary.org/obo/CL_0000364>		
<http://purl.obolibrary.org/obo/CL_0000366>		
<http://purl.obolibrary.org/obo/CL_0000368>		
<http://purl.obolibrary.org/obo/CL_0000370>		
<http://purl.obolibrary.org/obo/CL_0000375>	"CL:0007010"	
<http://purl.obolibrary.org/obo/CL_0000399>		
<http://purl.obolibrary.org/obo/CL_0000400>		
<http://purl.obolibrary.org/obo/CL_0000414>		"CL:0000000"
<http://purl.obolibrary.org/obo/CL_0000414>		"CL:0000003"
<http://purl.obolibrary.org/obo/CL_0000414>		"CL:0000255"
<http://purl.obolibrary.org/obo/CL_0000414>		"CL:0001034"
<http://purl.obolibrary.org/obo/CL_0000433>		
<http://purl.obolibrary.org/obo/CL_0000455>		
<http://purl.obolibrary.org/obo/CL_0000472>		
<http://purl.obolibrary.org/obo/CL_0000475>		
<http://purl.obolibrary.org/obo/CL_0000491>		
<http://purl.obolibrary.org/obo/CL_0000493>		
<http://purl.obolibrary.org/obo/CL_0000522>		
<http://purl.obolibrary.org/obo/CL_0000537>		
<http://purl.obolibrary.org/obo/CL_0000538>		
<http://purl.obolibrary.org/obo/CL_0000539>		
<http://purl.obolibrary.org/obo/CL_0000543>		
<http://purl.obolibrary.org/obo/CL_0000585>		
<http://purl.obolibrary.org/obo/CL_0000610>		"PO:0009002"
<http://purl.obolibrary.org/obo/CL_0000616>		
<http://purl.obolibrary.org/obo/CL_0000620>		
<http://purl.obolibrary.org/obo/CL_0000668>		
<http://purl.obolibrary.org/obo/CL_0000672>		
<http://purl.obolibrary.org/obo/CL_0000685>		
<http://purl.obolibrary.org/obo/CL_0000698>		
<http://purl.obolibrary.org/obo/CL_0002245>		
<http://purl.obolibrary.org/obo/CL_0002276>		
<http://purl.obolibrary.org/obo/CL_0002392>		
<http://purl.obolibrary.org/obo/CL_0002646>		
<http://purl.obolibrary.org/obo/CL_0002647>		
<http://purl.obolibrary.org/obo/CL_0002648>		
<http://purl.obolibrary.org/obo/CL_0002649>		
<http://purl.obolibrary.org/obo/CL_0002650>		
<http://purl.obolibrary.org/obo/CL_0005016>		
<http://purl.obolibrary.org/obo/CL_0005017>		
<http://purl.obolibrary.org/obo/CL_0007014>	<http://purl.obolibrary.org/obo/CLO_0000001>	
<http://purl.obolibrary.org/obo/CL_0007015>	<http://purl.obolibrary.org/obo/CLO_0000018>	
<http://purl.obolibrary.org/obo/CL_0008023>	<http://purl.obolibrary.org/obo/CL_0002548>	
<http://purl.obolibrary.org/obo/CL_1000316>	"CL:1000495"	
<http://purl.obolibrary.org/obo/CL_1000318>		
<http://purl.obolibrary.org/obo/CL_1000319>		
<http://purl.obolibrary.org/obo/CL_1000328>		
<http://purl.obolibrary.org/obo/CL_1001583>	"CL:0002617"	
<http://purl.obolibrary.org/obo/CL_2000009>	"CL:2000008"	
<http://purl.obolibrary.org/obo/CL_2000026>		
<http://purl.obolibrary.org/obo/CL_2000050>		
