ID [IRI]	LABEL
http://purl.obolibrary.org/obo/CHEBI_24431	
http://purl.obolibrary.org/obo/CHEBI_36080	
http://purl.obolibrary.org/obo/CL_0000000	cell
http://purl.obolibrary.org/obo/CL_0000007	early embryonic cell (metazoa)
http://purl.obolibrary.org/obo/CL_0000034	stem cell
http://purl.obolibrary.org/obo/CL_0000037	hematopoietic stem cell
http://purl.obolibrary.org/obo/CL_0000038	erythroid progenitor cell
http://purl.obolibrary.org/obo/CL_0000039	germ line cell
http://purl.obolibrary.org/obo/CL_0000040	monoblast
http://purl.obolibrary.org/obo/CL_0000048	multi fate stem cell
http://purl.obolibrary.org/obo/CL_0000049	common myeloid progenitor
http://purl.obolibrary.org/obo/CL_0000050	megakaryocyte-erythroid progenitor cell
http://purl.obolibrary.org/obo/CL_0000051	common lymphoid progenitor
http://purl.obolibrary.org/obo/CL_0000052	totipotent stem cell
http://purl.obolibrary.org/obo/CL_0000055	non-terminally differentiated cell
http://purl.obolibrary.org/obo/CL_0000056	myoblast
http://purl.obolibrary.org/obo/CL_0000057	fibroblast
http://purl.obolibrary.org/obo/CL_0000066	epithelial cell
http://purl.obolibrary.org/obo/CL_0000071	blood vessel endothelial cell
http://purl.obolibrary.org/obo/CL_0000075	columnar/cuboidal epithelial cell
http://purl.obolibrary.org/obo/CL_0000076	squamous epithelial cell
http://purl.obolibrary.org/obo/CL_0000077	mesothelial cell
http://purl.obolibrary.org/obo/CL_0000081	blood cell
http://purl.obolibrary.org/obo/CL_0000084	T cell
http://purl.obolibrary.org/obo/CL_0000092	osteoclast
http://purl.obolibrary.org/obo/CL_0000094	granulocyte
http://purl.obolibrary.org/obo/CL_0000095	neuron associated cell
http://purl.obolibrary.org/obo/CL_0000100	motor neuron
http://purl.obolibrary.org/obo/CL_0000101	sensory neuron
http://purl.obolibrary.org/obo/CL_0000113	mononuclear phagocyte
http://purl.obolibrary.org/obo/CL_0000115	endothelial cell
http://purl.obolibrary.org/obo/CL_0000125	glial cell
http://purl.obolibrary.org/obo/CL_0000133	neurectodermal cell
http://purl.obolibrary.org/obo/CL_0000134	mesenchymal stem cell
http://purl.obolibrary.org/obo/CL_0000136	adipocyte
http://purl.obolibrary.org/obo/CL_0000145	professional antigen presenting cell
http://purl.obolibrary.org/obo/CL_0000147	pigment cell
http://purl.obolibrary.org/obo/CL_0000148	melanocyte
http://purl.obolibrary.org/obo/CL_0000149	visual pigment cell
http://purl.obolibrary.org/obo/CL_0000151	secretory cell
http://purl.obolibrary.org/obo/CL_0000152	exocrine cell
http://purl.obolibrary.org/obo/CL_0000159	seromucus secreting cell
http://purl.obolibrary.org/obo/CL_0000163	endocrine cell
http://purl.obolibrary.org/obo/CL_0000183	contractile cell
http://purl.obolibrary.org/obo/CL_0000187	muscle cell
http://purl.obolibrary.org/obo/CL_0000188	cell of skeletal muscle
http://purl.obolibrary.org/obo/CL_0000192	smooth muscle cell
http://purl.obolibrary.org/obo/CL_0000210	photoreceptor cell
http://purl.obolibrary.org/obo/CL_0000211	electrically active cell
http://purl.obolibrary.org/obo/CL_0000214	synovial cell
http://purl.obolibrary.org/obo/CL_0000219	motile cell
http://purl.obolibrary.org/obo/CL_0000221	ectodermal cell
http://purl.obolibrary.org/obo/CL_0000222	mesodermal cell
http://purl.obolibrary.org/obo/CL_0000223	endodermal cell
