ID	Label	Type	Parent Class	Parent Property
ID	A label	TYPE	C %	P %
oboInOwl:has_obo_namespace	has_obo_namespace	owl:AnnotationProperty		
oboInOwl:has_exact_synonym	has_exact_synonym	owl:AnnotationProperty		
oboInOwl:database_cross_reference	database_cross_reference	owl:AnnotationProperty		
oboInOwl:has_broad_synonym	has_broad_synonym	owl:AnnotationProperty		
oboInOwl:has_related_synonym	has_related_synonym	owl:AnnotationProperty		
oboInOwl:created_by	created_by	owl:AnnotationProperty		
oboInOwl:creation_date	creation_date	owl:AnnotationProperty		
IAO:0000115	definition	owl:AnnotationProperty		
BFO:0000051	has part	owl:ObjectProperty		
RO:0002104	has plasma membrane part	owl:ObjectProperty		has part
http://purl.obolibrary.org/obo/cl#lacks_plasma_membrane_part	lacks_plasma_membrane_part	owl:ObjectProperty		
http://purl.obolibrary.org/obo/cl#has_high_plasma_membrane_amount	has_high_plasma_membrane_amount	owl:ObjectProperty		has plasma membrane part
http://purl.obolibrary.org/obo/cl#has_low_plasma_membrane_amount	has_low_plasma_membrane_amount	owl:ObjectProperty		has plasma membrane part
RO:0000053	bearer of	owl:ObjectProperty		
RO:0001025	located in	owl:ObjectProperty		
RO:0002202	develops from	owl:ObjectProperty		
RO:0002162	in taxon	owl:ObjectProperty		
RO:0002160	only in taxon	owl:ObjectProperty		in taxon
RO:0002215	capable of	owl:ObjectProperty		
http://purl.obolibrary.org/obo/cl#lacks_part	lacks part	owl:ObjectProperty		
NCBITaxon:2759	Eukaryota	owl:Class		
NCBITaxon:33208	Metazoa	owl:Class	Eukaryota	
NCBITaxon:9606	Homo sapiens	owl:Class	Metazoa	
NCBITaxon:10090	Mus musculus	owl:Class	Metazoa	
GO:0044464	cell part	owl:Class		
GO:0030141	secretory granule	owl:Class	cell part	
CP:0000000	neutrophillic cytoplasm	owl:Class	cell part	
CP:0000037	increased nucleus size	owl:Class	cell part	
GO:0000792	heterochromatin	owl:Class	cell part	
GO:0042105	alpha-beta T cell receptor complex	owl:Class	cell part	
CL:0000000	cell	owl:Class		
CL:0000542	lymphocyte	owl:Class	cell	
CL:0000825	pro-NK cell	owl:Class	cell	
GO:0008150	biological process	owl:Class		
GO:0001816	cytokine production	owl:Class	biological process	
GO:0001909	leukocyte mediated cytotoxicity	owl:Class	biological process	
GO:0002228	natural killer cell mediated immunity	owl:Class	biological process	
GO:0002830	positive regulation of type 2 immune response	owl:Class	biological process	
GO:0032609	interferon-gamma production	owl:Class	biological process	
GO:0032616	interleukin-13 production	owl:Class	biological process	
GO:0032634	interleukin-5 production	owl:Class	biological process	
GO:0042267	natural killer cell mediated cytotoxicity	owl:Class	biological process	
GO:0045087	innate immune response	owl:Class	biological process	
GO:0050776	regulation of immune response	owl:Class	biological process	
PATO:0001501	immature	owl:Class		
PR:000000001	protein	owl:Class		
PR:000001002	CD19 molecule	owl:Class	protein	
PR:000001003	CD34 molecule	owl:Class	protein	
PR:000001004	CD4 molecule	owl:Class	protein	
PR:000001008	integrin alpha-2	owl:Class	protein	
PR:000001012	integrin alpha-M	owl:Class	protein	
PR:000001020	CD3 epsilon	owl:Class	protein	
PR:000001024	neural cell adhesion molecule 1	owl:Class	protein	
PR:000001084	T-cell surface glycoprotein CD8 alpha chain	owl:Class	protein	
PR:000001289	membrane-spanning 4-domains subfamily A member 1	owl:Class	protein	
PR:000001319	SLAM family member 5	owl:Class	protein	
PR:000001326	bone marrow stromal antigen 2	owl:Class	protein	
PR:000001381	interleukin-2 receptor subunit beta	owl:Class	protein	
PR:000001402	killer cell lectin-like receptor subfamily D member 1	owl:Class	protein	
PR:000001483	low affinity immunoglobulin gamma Fc region receptor III	owl:Class	protein	
PR:000001860	inducible T-cell costimulator	owl:Class	protein	
PR:000001869	interleukin-7 receptor subunit alpha	owl:Class	protein	
PR:000001874	KLRB1-like protein	owl:Class	protein	
PR:000001889	CD14 molecule	owl:Class	protein	
PR:000001893	natural cytotoxicity triggering receptor 1	owl:Class	protein	
PR:000001927	sialic acid-binding Ig-like lectin 5	owl:Class	protein	
PR:000001963	CD27 molecule	owl:Class	protein	
PR:000002015	MHC class II histocompatibility antigen alpha chain DRA	owl:Class	protein	
PR:000002023	NKG2-A/NKG2-B type II integral membrane protein	owl:Class	protein	
PR:000002065	mast/stem cell growth factor receptor	owl:Class	protein	
PR:000002977	killer cell lectin-like receptor subfamily B member 1C	owl:Class	protein	
PR:000003455	nuclear receptor ROR-gamma isoform 2	owl:Class	protein	
PR:000007431	high affinity immunoglobulin epsilon receptor subunit alpha	owl:Class	protein	
PR:000008982	interleukin-17 receptor B	owl:Class	protein	
PR:000008994	interleukin-1 receptor-like 1	owl:Class	protein	
PR:000009616	T-cell surface glycoprotein YE1/48	owl:Class	protein	
PR:000009618	killer cell lectin-like receptor 3	owl:Class	protein	
PR:000009619	killer cell lectin-like receptor 4	owl:Class	protein	
PR:000009623	killer cell lectin-like receptor 8	owl:Class	protein	
PR:000009766	galectin-1	owl:Class	protein	
UBERON:0001062	anatomical entity	owl:Class		
UBERON:0001281	hepatic sinusoid	owl:Class	anatomical entity	
PR:Q96E93	killer cell lectin-like receptor subfamily G member 1 (human)	owl:Class	protein	
PR:O76036	natural cytotoxicity triggering receptor 1 (human)	owl:Class	protein	
PR:P16871	interleukin-7 receptor subunit alpha (human)	owl:Class	protein	
PR:P28906	hematopoietic progenitor cell antigen CD34 (human)	owl:Class	protein	
PR:P13591	neural cell adhesion molecule 1 (human)	owl:Class	protein	
PR:P10721	mast/stem cell growth factor receptor Kit (human)	owl:Class	protein	
PR:Q9UL17	T-box transcription factor TBX21 (human)	owl:Class	protein	
PR:Q07108	early activation antigen CD69 (human)	owl:Class	protein	
PR:O95944	natural cytotoxicity triggering receptor 2 (human)	owl:Class	protein	
PR:P01589	interleukin-2 receptor subunit alpha (human)	owl:Class	protein	
PR:Q12918	killer cell lectin-like receptor subfamily B member 1 (human)	owl:Class	protein	
PR:P23771	trans-acting T-cell-specific transcription factor GATA-3 (human)	owl:Class	protein	
PR:Q9Y5Y4	prostaglandin D2 receptor 2 (human)	owl:Class	protein	
